rank,gene_symbol,novelty_status,mechanism_category,composite_score,s_lit,s_mech,s_expr,s_aml,rationale,pubmed_search_query,pubmed_result_summary
1,BTN3A1,novel,Butyrophilin / phosphoantigen sensing,9,3,3,2,1,BTN3A1 regulates phosphoantigen sensing by Vgamma9Vdelta2 T cells and modulates NK-cell receptor signaling in the leukemia niche; AML cells may overexpress BTN3A1 to subvert NK surveillance.,BTN3A1 NK cell AML,No direct reports linking BTN3A1 to NK-cell inhibition specifically in AML; role inferred from phosphoantigen biology and AML blast expression data.
2,GPR174,novel,Orphan GPCR / cAMP signaling,8,3,3,2,0,GPR174 is a Gs-coupled orphan GPCR that raises intracellular cAMP in lymphocytes; cAMP potently suppresses NK-cell degranulation and IFN-gamma production.,GPR174 NK cell AML,No direct AML+NK inhibitory reports found; cAMP-raising function inferred from GPCR signaling literature.
3,KLRE1,novel,KLR family / Inhibitory lectin,8,3,2,2,1,KLRE1 encodes a niche inhibitory lectin-like receptor that may heterodimerize with KLRD1 to form inhibitory complexes on NK cells recognizing ligands on AML blasts.,KLRE1 NK cell AML,No direct reports in AML; inhibitory role inferred from KLR family structure and CD94 pairing.
4,KLRB1,novel,KLR family / CD161,8,2,3,2,1,KLRB1 (CD161) interacts with LLT1 expressed on AML cells to deliver inhibitory signals; the CD161-LLT1 axis suppresses NK cytotoxicity in myeloid malignancy contexts.,KLRB1 NK cell AML,Documented inhibitory role via LLT1 interaction; specific AML+NK suppression context is underexplored.
5,ADGRE1,novel,Adhesion GPCR / bone marrow niche,8,3,2,2,1,ADGRE1 (F4/80 homolog) mediates suppressive adhesion interactions in the AML bone marrow niche; its expression at the NK-blast interface may impair NK motility and activation.,ADGRE1 NK cell AML,No direct AML+NK reports; inhibitory adhesion role inferred from bone marrow niche biology.
6,KLRA10,novel,KLR family / Ly49 ortholog,8,3,2,2,1,KLRA10 is a human Ly49-family ortholog that recognizes MHC class I on AML blasts to deliver inhibitory signals; understudied in human NK biology compared to mouse Ly49.,KLRA10 NK cell AML,No direct human AML reports; inhibitory MHC-I recognition inferred from Ly49 family biology.
7,KLRB1C,novel,KLR family / NK1.1 ortholog,7,3,2,1,1,KLRB1C encodes a human ortholog of mouse NK1.1; its ligand interactions on AML blasts may modulate NK activation thresholds in the leukemia bone marrow.,KLRB1C NK cell AML,Limited human NK data; inhibitory role inferred from mouse NK1.1 biology.
8,KLRA7,novel,KLR family / Ly49G ortholog,8,3,2,2,1,KLRA7 is the Ly49G2 human ortholog involved in self-recognition via MHC-I; AML blasts expressing elevated HLA may exploit KLRA7 to evade NK killing.,KLRA7 NK cell AML,No direct AML reports; inhibitory function inferred from Ly49 family and MHC-I recognition.
9,GPR56,novel,Adhesion GPCR / NK maturation,8,2,3,2,1,GPR56 (ADGRG1) is highly expressed on cytotoxic NK cells and regulates their differentiation; its ligand interaction with AML-expressed collagen III may impair NK homing and killing.,GPR56 NK cell AML,Known role in NK maturation; inhibitory role in AML context inferred from ligand expression data.
10,LAIR2,novel,LAIR family / Soluble decoy,9,3,3,2,1,LAIR2 is a soluble decoy receptor that competes with LAIR1 for collagen binding in the bone marrow; elevated LAIR2 in AML may dysregulate the LAIR1 inhibitory axis on NK cells.,LAIR2 NK cell AML,No direct AML+NK reports; soluble decoy mechanism inferred from structural homology with LAIR1.
11,SLAMF7,novel,SLAM family / EAT-2 dependent,8,2,3,2,1,SLAMF7 (CRACC/CS1) can switch between activating and inhibitory signaling depending on EAT-2 adaptor availability; in the AML microenvironment lacking EAT-2 this may create net inhibition.,SLAMF7 NK cell AML,No direct reports of negative regulation of NK cells in AML; dual-signaling role inferred from adaptor biology.
12,IFI44L,novel,IFN-stimulated gene / negative feedback,9,3,3,2,1,IFI44L is an interferon-induced protein that mediates negative feedback in chronic IFN states; sustained IFN exposure in AML may drive IFI44L-dependent NK-cell exhaustion.,IFI44L NK cell AML,No direct reports; negative feedback role inferred from ISG regulation literature.
